Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1zc4HKQ4XapuY2LrPLGrzg,"Dying on the Inside","Shame On Me","Catch Your Breath",2023-10-20,204816,49,true,bananaslug-10,2024-09-04T15:11:38Z,"metalcore","Thriller Records",0.438,0.965,11,-4.25,0,0.103,0.0027,0,0.128,0.39,163.967,4
spotify:track:7mczLeiFeYKRb7vtiPjuMb,"DArkSide","POST HUMAN: NeX GEn","Bring Me The Horizon",2024-05-24,165357,73,true,bananaslug-10,2024-09-04T15:08:54Z,"metalcore,emo,screamo,rock,post-hardcore","RCA Records Label",0.365,0.951,7,-3.034,1,0.181,0.000591,0.00000107,0.716,0.441,83.812,4
spotify:track:0hpWmAB3L0OJ3VBeMkOQUu,"Kool-Aid","POST HUMAN: NeX GEn","Bring Me The Horizon",2024-05-24,228470,71,true,bananaslug-10,2024-09-04T15:08:54Z,"metalcore,emo,screamo,rock,post-hardcore","RCA Records Label",0.308,0.943,5,-3.436,0,0.194,0.000201,0.00000137,0.649,0.287,149.758,4
spotify:track:0M3adYbGtyRHACP86dey1H,"Throne","That's The Spirit","Bring Me The Horizon",2015-09-11,191520,80,false,bananaslug-10,2024-09-07T06:47:56Z,"metalcore,emo,screamo,rock,post-hardcore","RCA Records Label",0.426,0.888,0,-3.72,0,0.0987,0.000455,0,0.306,0.387,144.111,4
spotify:track:0WSa1sucoNRcEeULlZVQXj,"Can You Feel My Heart","Sempiternal (Expanded Edition)","Bring Me The Horizon",2013-04-01,228146,80,true,bananaslug-10,2024-09-25T16:00:55Z,"metalcore,emo,screamo,rock,post-hardcore","RCA Records Label",0.15,0.859,4,-2.827,0,0.0595,0.00201,0.194,0.387,0.354,170.527,5
spotify:track:27C5LnNArKlYH0dF2CONst,"Riptide","Riptide","South Arcade",2024-04-05,179575,57,false,bananaslug-10,2024-09-04T15:12:37Z,"","Lab Records",0.402,0.945,0,-5.15,0,0.0847,0.00512,0,0.29,0.672,154.965,4
spotify:track:4JJpEYYamr363Kbc4zdw1h,"Novocaine","For Keeps","Too Close To Touch,Bad Omens",2024-03-08,295775,57,false,bananaslug-10,2024-09-04T15:13:24Z,"post-hardcore,metalcore","Epitaph",0.421,0.895,4,-4.663,0,0.107,0.00138,0.0000133,0.0923,0.102,145.072,4
spotify:track:09xhBaGi1uMBKo9zphWkd2,"Control","For Keeps","Too Close To Touch",2024-03-08,240767,47,false,bananaslug-10,2024-09-04T15:08:54Z,"post-hardcore,metalcore","Epitaph",0.297,0.825,8,-4.997,1,0.26,0.00547,0.000034,0.124,0.334,182.06,4
spotify:track:7zG4PPlKI37DDWzjzwRF3Y,"Disappear","For Keeps","Too Close To Touch",2024-03-08,242863,41,false,bananaslug-10,2024-10-04T17:38:34Z,"post-hardcore,metalcore","Epitaph",0.302,0.97,5,-3.51,1,0.512,0.00045,0,0.382,0.357,172.083,4
spotify:track:5evrhIjC3TWixy79nTaS0Z,"They Don’t Even Know","For Keeps","Too Close To Touch",2024-03-08,197760,29,false,bananaslug-10,2024-10-04T17:56:12Z,"post-hardcore,metalcore","Epitaph",0.329,0.89,2,-5.548,1,0.123,0.000373,0.000203,0.459,0.453,94.384,4
spotify:track:1s4Nc5XFspnFHEHLv92gak,"Sympathy","Haven't Been Myself","Too Close To Touch",2016-09-23,216120,62,false,bananaslug-10,2024-09-04T15:08:54Z,"post-hardcore,metalcore","Epitaph",0.382,0.799,6,-3.676,0,0.0607,0.00112,0.0000454,0.138,0.244,140.059,4
spotify:track:4xDwCYhobDehSBGUmd5H6Y,"FEEL NOTHING","DISPOSE","The Plot In You",2018-02-16,216826,73,true,bananaslug-10,2024-09-04T15:08:54Z,"metalcore","Fearless Records",0.448,0.825,4,-5.307,0,0.0621,0.00353,0,0.108,0.226,144.17,4
spotify:track:2ciYYljvXw3vJdWi6hkEfS,"Divide","Vol. 1","The Plot In You",2024-01-12,208834,67,true,bananaslug-10,2024-09-04T15:08:54Z,"metalcore","Fearless Records",0.45,0.971,1,-3.892,1,0.32,0.00034,0.000555,0.317,0.488,150,4
spotify:track:0ZZCltcOacjI1kY4BnVDjt,"Forgotten","Vol. 1","The Plot In You",2024-01-12,175249,69,true,bananaslug-10,2025-07-01T06:35:51Z,"metalcore","Fearless Records",0.565,0.931,10,-4.88,0,0.181,0.000242,0.00105,0.144,0.43,100.045,4
spotify:track:556JR8TWeOKA0OH9MJKb6B,"THE ONE YOU LOVED","DISPOSE","The Plot In You",2018-02-16,205560,64,true,bananaslug-10,2024-09-23T16:42:53Z,"metalcore","Fearless Records",0.553,0.859,6,-5.131,0,0.0468,0.00139,0.00000108,0.127,0.459,99.891,4
spotify:track:1EusMjYm7PZftlZn87vPWE,"Medicate Me","Medicate Me","Rain City Drive,Dayseeker",2024-04-26,167454,57,false,bananaslug-10,2024-09-30T04:37:45Z,"post-hardcore,metalcore","Thriller Records",0.526,0.928,6,-3.978,0,0.166,0.0024,0,0.344,0.469,109.929,4
spotify:track:60No1rVevpihXdUMgUoIf4,"Frozen","Frozen","Rain City Drive",2023-09-22,213504,43,false,bananaslug-10,2024-09-30T04:38:21Z,"post-hardcore,metalcore","Thriller Records",0.397,0.942,8,-2.5,0,0.153,0.00113,0,0.322,0.464,156.074,4
spotify:track:6vgeVoI1aqygSvlhqqs2Tn,"Blood Runs Cold","Rain City Drive","Rain City Drive",2022-07-15,192489,62,false,bananaslug-10,2024-10-30T17:55:01Z,"post-hardcore,metalcore","Thriller Records",0.397,0.934,1,-3.157,0,0.0646,0.000216,0,0.0761,0.42,160.186,4
spotify:track:5P2OmA8IdnZJaAmeCMJR7H,"Lose My Composure","Things Are Different Now","Rain City Drive",2024-09-27,187856,44,false,bananaslug-10,2024-10-04T18:01:21Z,"post-hardcore,metalcore","Thriller Records",0.357,0.943,7,-3.679,1,0.152,0.000506,0.000873,0.367,0.538,160.506,4
spotify:track:1MtgVw093BemZtwbDZyHqj,"Wish You The Best","Things Are Different Now","Rain City Drive",2024-09-27,174428,56,false,bananaslug-10,2024-10-04T18:03:59Z,"post-hardcore,metalcore","Thriller Records",0.59,0.836,11,-3.728,0,0.0541,0.000572,0,0.216,0.662,127.023,4
spotify:track:1nxbn0COjeyH7MQZ27T3CR,"Glass Heart","Lost Souls","Caskets",2021-08-13,224421,68,false,bananaslug-10,2024-09-04T15:09:01Z,"metalcore,post-hardcore","SHARPTONE",0.412,0.958,6,-5.432,0,0.0997,0.000225,0.0000471,0.119,0.341,164.072,4
spotify:track:3b0iJZyBfRnTDpViV6hUAe,"The Only Ones","Lost Souls","Caskets",2021-08-13,300984,53,false,bananaslug-10,2024-09-04T15:09:01Z,"metalcore,post-hardcore","SHARPTONE",0.452,0.901,7,-6.533,0,0.0582,0.00335,0.00000857,0.122,0.123,105.937,4
spotify:track:37QT8fENZDrBCZZSR2NxHE,"The Final Say","Lost Souls","Caskets",2021-08-13,270672,50,false,bananaslug-10,2024-09-04T15:09:01Z,"metalcore,post-hardcore","SHARPTONE",0.304,0.889,5,-6.086,0,0.0895,0.00989,0,0.115,0.263,130.008,4
spotify:track:1XlKHZ3SkYa7Ea0fQBpjHv,"Nothing to Hide","Lost Souls","Caskets",2021-08-13,259528,54,false,bananaslug-10,2024-09-04T15:09:01Z,"metalcore,post-hardcore","SHARPTONE",0.523,0.923,5,-5.754,0,0.0703,0.00139,0.00000576,0.303,0.285,127.013,4
spotify:track:76WJ6DfdUNCC3lqdy5s19K,"Lose Myself","Lost Souls","Caskets",2021-08-13,234416,54,false,bananaslug-10,2024-09-04T15:09:01Z,"metalcore,post-hardcore","SHARPTONE",0.476,0.954,1,-5.739,1,0.06,0.000826,0,0.0438,0.316,101.466,4
spotify:track:13YWByXibBltt3T5u3IcT7,"Lost in Echoes","Lost Souls","Caskets",2021-08-13,217814,66,false,bananaslug-10,2024-09-04T15:09:01Z,"metalcore,post-hardcore","SHARPTONE",0.442,0.937,7,-6.693,0,0.0723,0.00368,0.000116,0.0814,0.444,75.034,4
spotify:track:2YcisyBQVAXr68rq8P6pCR,"I Don't Wanna Be Here","Everything You Wanted","If Not For Me",2024-03-29,182666,36,false,bananaslug-10,2024-09-04T15:09:01Z,"metalcore","Thriller Records",0.542,0.843,6,-4.944,0,0.0457,0.019,0.000357,0.11,0.22,134.999,4
spotify:track:0Qc7UYagLJkUM8xZ3b7gKJ,"Feel Me Now","Everything You Wanted","If Not For Me",2024-03-29,230909,61,false,bananaslug-10,2024-09-04T15:09:01Z,"metalcore","Thriller Records",0.281,0.961,3,-3.62,0,0.0945,0.00352,0.00309,0.16,0.546,109.909,5
spotify:track:12ehSFI3uvGxJnZMIQqE6m,"Blameless","Everything You Wanted","If Not For Me",2024-03-29,193071,53,false,bananaslug-10,2024-09-04T15:09:01Z,"metalcore","Thriller Records",0.507,0.975,8,-3.915,1,0.127,0.0102,0.0000965,0.509,0.237,139.972,4
spotify:track:1MFvVwIPvzDrCBX44NXVuO,"No Thanks To You","Everything You Wanted","If Not For Me",2024-03-29,183463,45,false,bananaslug-10,2024-09-04T15:09:01Z,"metalcore","Thriller Records",0.511,0.95,8,-4.433,1,0.0718,0.0201,0.000219,0.185,0.162,103.554,4
spotify:track:7b7EQFWor90ETS1HShGPZI,"Demons","Everything You Wanted","If Not For Me",2024-03-29,194159,48,false,bananaslug-10,2024-09-04T15:10:18Z,"metalcore","Thriller Records",0.499,0.925,3,-3.933,0,0.0808,0.000808,0.0000915,0.215,0.383,83.968,4
spotify:track:7wdOqBy3UVKeQ1wPkHkAO1,"Complete Collapse","Complete Collapse","Sleeping With Sirens",2022-10-14,192553,51,false,bananaslug-10,2024-09-04T15:09:01Z,"emo,post-hardcore,screamo","Sumerian Records",0.416,0.945,1,-3.641,1,0.195,0.000602,0,0.367,0.491,163.081,4
spotify:track:2BhO5MD5myhWXL82di1W8v,"Calamity","Calamity","Annisokay",2023-06-23,173372,56,false,bananaslug-10,2024-09-04T15:09:07Z,"metalcore,post-hardcore,metal","Arising Empire",0.407,0.935,11,-5.877,0,0.132,0.000437,0.0000101,0.107,0.275,171.893,4
spotify:track:65VHUZPZKgaG4SJVRkBPzn,"Curse","Curse","Architects",2024-04-09,181134,28,false,bananaslug-10,2024-09-04T15:10:45Z,"metalcore,djent,mathcore,metal,post-hardcore,deathcore","Epitaph",0.581,0.957,5,-3.191,0,0.143,0.00000992,0.0000356,0.147,0.473,119.995,4
spotify:track:3UygY7qW2cvG9Llkay6i1i,"Going Under","Fallen","Evanescence",2003-03-04,214946,81,false,bananaslug-10,2024-09-04T15:12:20Z,"alternative metal","The Bicycle Music Company",0.37,0.858,11,-4.885,0,0.0545,0.00815,0.0000212,0.229,0.464,175.077,4
spotify:track:0COqiPhxzoWICwFCS4eZcp,"Bring Me To Life","Fallen","Evanescence",2003-03-04,235893,90,false,bananaslug-10,2024-09-04T15:12:20Z,"alternative metal","The Bicycle Music Company",0.331,0.943,4,-3.188,0,0.0698,0.00721,0.00000206,0.242,0.296,94.612,4
spotify:track:6Z77oDcn6iI1MHFCBPjl24,"Haunted","Fallen","Evanescence",2003-03-04,185440,65,false,bananaslug-10,2024-09-04T15:12:20Z,"alternative metal","The Bicycle Music Company",0.364,0.861,4,-4.588,0,0.0617,0.00959,0.00449,0.107,0.16,155.672,4
spotify:track:46fyLy4W9HhAkcb67kLaAV,"Tourniquet","Fallen","Evanescence",2003-03-04,278066,68,false,bananaslug-10,2024-09-04T15:12:20Z,"alternative metal","The Bicycle Music Company",0.204,0.898,4,-5.859,0,0.0938,0.00505,0.0107,0.31,0.14,98.943,4
spotify:track:7q6CybWAg3uYLgS5tDWqmd,"Imaginary","Fallen","Evanescence",2003-03-04,256493,62,false,bananaslug-10,2024-09-04T15:12:20Z,"alternative metal","The Bicycle Music Company",0.399,0.747,4,-5.472,0,0.031,0.00681,0.00327,0.205,0.278,150.053,4
spotify:track:5j7gLuOsBOyqooruGxX4nx,"Taking Over Me","Fallen","Evanescence",2003-03-04,228613,63,false,bananaslug-10,2024-09-04T15:12:20Z,"alternative metal","The Bicycle Music Company",0.476,0.796,9,-5.544,0,0.0335,0.0147,0.0000285,0.0981,0.399,90.038,4
spotify:track:2aUuMeSbt2aEv94MdG2BYS,"My Last Breath","Fallen","Evanescence",2003-03-04,247333,62,false,bananaslug-10,2024-09-04T15:12:20Z,"alternative metal","The Bicycle Music Company",0.353,0.774,6,-5.862,0,0.0491,0.00135,0.000199,0.105,0.452,176.201,4
spotify:track:1TU3KOnNwSERgNbF2Yzl7N,"Whisper","Fallen","Evanescence",2003-03-04,327333,60,false,bananaslug-10,2024-09-04T15:12:20Z,"alternative metal","The Bicycle Music Company",0.331,0.846,2,-5.702,0,0.0516,0.00689,0.0000943,0.27,0.369,175.121,4
spotify:track:663Karu2rvKLdnY0eo1n3M,"Call Me When You're Sober","The Open Door","Evanescence",2006-01-01,214706,75,false,bananaslug-10,2024-09-27T04:38:10Z,"alternative metal","The Bicycle Music Company",0.45,0.883,7,-4.094,1,0.0524,0.00193,0,0.293,0.328,93.41,4
spotify:track:7rQeehJRFCNTwqDffP8c5t,"new way out","new way out","Poppy",2024-06-04,202909,56,false,bananaslug-10,2024-09-07T01:44:32Z,"","Sumerian Records",0.588,0.91,7,-3.427,1,0.072,0.000197,0.000665,0.0575,0.459,108.928,4
spotify:track:60a0Rd6pjrkxjPbaKzXjfq,"In the End","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,216880,92,false,bananaslug-10,2024-09-07T06:46:59Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,4
spotify:track:18lR4BzEs7e3qzc0KVkTpU,"What I've Done","Minutes to Midnight","Linkin Park",2007-05-14,205226,86,false,bananaslug-10,2024-09-27T05:06:51Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.627,0.935,5,-4.882,1,0.0324,0.0092,0,0.147,0.287,120.092,4
spotify:track:2nLtzopw4rPReszdYBJU6h,"Numb","Meteora","Linkin Park",2003-03-25,187520,91,false,bananaslug-10,2024-09-07T06:47:00Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.488,0.87,6,-4.185,0,0.0421,0.00353,0,0.484,0.211,110.072,4
spotify:track:4Yf5bqU3NK4kNOypcrLYwU,"Faint","Meteora","Linkin Park",2003-03-25,162106,87,false,bananaslug-10,2024-09-07T06:47:02Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.554,0.98,4,-3.514,1,0.108,0.127,0,0.0833,0.611,135.12,4
spotify:track:7oVEtyuv9NBmnytsCIsY5I,"BURN IT DOWN","LIVING THINGS","Linkin Park",2012-06-19,230253,81,false,bananaslug-10,2024-09-07T06:47:05Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.585,0.972,9,-4.45,0,0.0534,0.0143,0,0.0707,0.585,110.006,4
spotify:track:0zLNFeLkfUi9Ei4ysZfPXP,"Uzumaki","Year Of The Snake","Softcult",2022-02-04,211321,41,false,bananaslug-10,2024-09-07T06:47:51Z,"shoegaze,dream pop,riot grrrl","Easy Life Records",0.333,0.729,6,-5.821,1,0.0514,0.00157,0.0106,0.279,0.373,169.884,4
spotify:track:7B81PwYsKxxznT4frjjzFA,"Death by a Thousand Cuts - Feat. Lucas Woodland","Death by a Thousand Cuts (Feat. Lucas Woodland)","Imminence,Holding Absence,Lucas Woodland",2024-07-18,321735,44,false,bananaslug-10,2024-09-09T18:36:18Z,"metalcore,metal,deathcore,post-hardcore,melodic hardcore","Imminence",0.327,0.95,6,-3.1,0,0.111,0.000674,0.0000209,0.17,0.151,74.892,4
spotify:track:2OYtcqflvzQwh3cMPmTHs4,"There’s Fear In Letting Go","TRUE POWER","I Prevail",2022-08-19,234945,67,false,bananaslug-10,2024-09-22T07:54:11Z,"metalcore","Fearless Records",0.492,0.869,0,-6.403,1,0.0673,0.000879,0.00185,0.588,0.136,123.118,4
spotify:track:2GFwwTIVLjnOrtP7m9luHC,"Hurricane","TRAUMA","I Prevail",2019-03-29,223173,71,true,bananaslug-10,2024-10-30T17:11:30Z,"metalcore","Fearless Records",0.389,0.885,6,-5.063,0,0.0551,0.000372,0.000311,0.202,0.187,164.989,4
spotify:track:5qD3Qv8Wu3r5uRD0DahcZy,"Bow Down","TRAUMA","I Prevail",2019-03-29,242680,69,true,bananaslug-10,2024-10-30T17:18:26Z,"metalcore","Fearless Records",0.426,0.959,0,-4.95,1,0.0525,0.0000536,0.00000654,0.707,0.372,155.01,4
spotify:track:6Q1m1GyNxyOwZ2ud3p7XoS,"Gasoline","TRAUMA","I Prevail",2019-03-29,153613,70,true,bananaslug-10,2024-10-30T17:23:27Z,"metalcore","Fearless Records",0.546,0.945,1,-4.399,1,0.0531,0.000311,0,0.724,0.545,135.128,4
spotify:track:6WaYiQUPel70HUaCZj5eND,"Scars","Lifelines","I Prevail",2016-10-21,229773,67,false,bananaslug-10,2024-10-30T17:27:17Z,"metalcore","Fearless Records",0.505,0.964,7,-3.673,1,0.0718,0.0000997,0.00000285,0.113,0.571,138.021,4
spotify:track:3jTWNaSfBQvv3HPTqQjkkM,"Bad Things","TRUE POWER","I Prevail",2022-08-19,228260,65,false,bananaslug-10,2024-10-30T17:29:32Z,"metalcore","Fearless Records",0.5,0.844,5,-5.263,0,0.064,0.000791,0.0000954,0.274,0.141,92.044,4
spotify:track:5icbZiF6lcuEORG0UzMsS2,"Every Time You Leave","TRAUMA","I Prevail,Delaney Jane",2019-03-29,216626,63,false,bananaslug-10,2024-10-30T17:37:51Z,"metalcore","Fearless Records",0.473,0.749,1,-5.047,0,0.0287,0.000466,0.0000055,0.0883,0.167,150.022,4
spotify:track:2ah5gOCogw00A62XBoepmc,"Miracle","Miracle","A Day To Remember",2022-07-21,243977,59,true,bananaslug-10,2024-09-23T16:54:49Z,"metalcore,post-hardcore,pop punk,screamo,emo","Fueled By Ramen",0.463,0.917,7,-3.776,1,0.13,0.000266,0.000018,0.0872,0.369,160.028,4
spotify:track:5ofoB8PFmocBXFBEWVb6Vz,"Animals","For Those That Wish To Exist","Architects",2021-02-26,244364,74,true,bananaslug-10,2024-09-23T17:09:39Z,"metalcore,djent,mathcore,metal,post-hardcore,deathcore","Epitaph",0.532,0.759,1,-3.842,0,0.0319,0.000123,0.02,0.073,0.293,95.01,4
spotify:track:5EauhH7IW4eDo0SPnP6rIY,"Seeing Red","Seeing Red","Architects",2023-12-04,220575,28,true,bananaslug-10,2024-09-23T17:14:28Z,"metalcore,djent,mathcore,metal,post-hardcore,deathcore","Epitaph",0.398,0.951,7,-3.1,1,0.143,0.0000715,0.00324,0.0575,0.174,163.939,4
spotify:track:0YZEYxd1oiqZRFhnnmTKKi,"Another Life","Disguise","Motionless In White",2019-06-07,205394,75,false,bananaslug-10,2024-09-25T06:24:51Z,"metalcore,metal,screamo","Roadrunner Records",0.39,0.939,4,-3.828,0,0.0787,0.0000508,0,0.0968,0.495,161.997,4
spotify:track:6LNKeK9iJ66iwe16VxG43H,"Disguise","Disguise","Motionless In White",2019-06-07,237500,62,true,bananaslug-10,2024-09-27T16:12:35Z,"metalcore,metal,screamo","Roadrunner Records",0.497,0.932,6,-4.621,1,0.0952,0.000147,0,0.11,0.482,104.932,4
spotify:track:0y0v0SDevDcGW5rsDElup3,"Thoughts & Prayers","Disguise","Motionless In White",2019-06-07,240450,63,true,bananaslug-10,2024-09-27T16:18:16Z,"metalcore,metal,screamo","Roadrunner Records",0.321,0.962,1,-3.364,1,0.161,0.00000678,0,0.396,0.473,200.142,4
spotify:track:73QoCfWJJWbRYmm5nCH5Y2,"Sign Of Life","Scoring The End Of The World","Motionless In White",2022-06-10,220066,68,false,bananaslug-10,2024-09-25T16:11:38Z,"metalcore,metal,screamo","Roadrunner Records",0.507,0.929,0,-3.246,0,0.0756,0.0000437,0.0000152,0.397,0.429,101.05,4
spotify:track:3c9kVsKF68xMzlS0NikVn3,"Masterpiece","Scoring The End Of The World","Motionless In White",2022-06-10,206648,72,false,bananaslug-10,2024-09-25T16:16:02Z,"metalcore,metal,screamo","Roadrunner Records",0.324,0.863,10,-3.716,0,0.123,0.000109,0,0.311,0.394,177.985,4
spotify:track:1e1rQNYCZToyBDDka1Io34,"Werewolf","Scoring The End Of The World","Motionless In White",2022-06-10,212082,63,false,bananaslug-10,2024-10-30T17:01:03Z,"metalcore,metal,screamo","Roadrunner Records",0.495,0.951,10,-3.01,0,0.149,0.0006,0,0.116,0.515,95.01,4
spotify:track:3Mol9yc6kEdpu8lKEvsune,"Timebomb","Timebomb","Motionless In White",2021-08-20,226124,52,false,bananaslug-10,2024-10-30T17:04:37Z,"metalcore,metal,screamo","Roadrunner Records",0.52,0.96,1,-4.235,1,0.184,0.0000137,0,0.0807,0.298,119.972,4
spotify:track:0SnvI0twJ1Mnh0rJlBRrf0,"Voices","Graveyard Shift","Motionless In White",2017-05-05,224000,71,false,bananaslug-10,2024-09-25T06:33:11Z,"metalcore,metal,screamo","Roadrunner Records",0.499,0.937,6,-2.492,1,0.0605,0.0000454,0.00000611,0.477,0.569,90.029,4
spotify:track:11EVeW30HHEMZZsWgWzdfN,"Eternally Yours","Graveyard Shift","Motionless In White",2017-05-05,312351,65,false,bananaslug-10,2024-09-25T16:28:16Z,"metalcore,metal,screamo","Roadrunner Records",0.481,0.94,10,-3.288,0,0.0564,0.00113,0,0.107,0.194,94.948,4
spotify:track:7petzbAJP403GAY6F3Zfbx,"Soft","Graveyard Shift","Motionless In White",2017-05-05,210000,63,true,bananaslug-10,2024-09-25T16:37:03Z,"metalcore,metal,screamo","Roadrunner Records",0.488,0.967,1,-1.825,1,0.103,0.00000463,0.00018,0.494,0.331,94.99,4
spotify:track:6Rt9GlwZEDU0V3vhXrUNqJ,"Necessary Evil (feat. Jonathan Davis)","Graveyard Shift","Motionless In White,Jonathan Davis",2017-05-05,228053,58,true,bananaslug-10,2024-09-25T16:45:20Z,"metalcore,metal,screamo","Roadrunner Records",0.579,0.946,9,-2.732,0,0.054,0.000128,0.0000238,0.335,0.4,99.937,4
spotify:track:0mDMySNeFk7O6DDslIcfPO,"Rats","Graveyard Shift","Motionless In White",2017-05-05,235840,52,true,bananaslug-10,2024-09-25T17:01:56Z,"metalcore,metal,screamo","Roadrunner Records",0.557,0.934,5,-3.312,1,0.0367,0.000321,0.00000673,0.119,0.428,89.984,4
spotify:track:7D7byMFEWbDbkgOGX4EugP,"Untouchable","Graveyard Shift","Motionless In White",2017-05-05,238306,48,true,bananaslug-10,2024-09-25T17:08:03Z,"metalcore,metal,screamo","Roadrunner Records",0.536,0.917,10,-2.257,0,0.0337,0.0000875,0.000181,0.383,0.718,97.498,4
spotify:track:3Avo2sje8LYkKcedVEFkHI,"Hourglass","Graveyard Shift","Motionless In White",2017-05-05,225333,44,false,bananaslug-10,2024-09-25T17:21:40Z,"metalcore,metal,screamo","Roadrunner Records",0.358,0.967,0,-2.278,1,0.109,0.0000378,0.0000129,0.33,0.367,119.58,4
